number,date,time,gender,age,accuracy,nationality1,accuracy,nationality2,accuracy,nationality3,accuracy,direction
1099,2024年10月30日,12:26,1,78,0.97,0,0.76,1,0.26,1,0.50,0.34
1100,2024年10月30日,12:26,1,81,0.79,0,0.01,1,0.84,1,0.77,0.81
1101,2024年10月30日,12:26,0,64,0.01,1,0.81,0,0.78,1,0.67,0.56
1102,2024年10月30日,12:26,1,43,0.41,0,0.62,1,0.12,0,0.49,0.36
1103,2024年10月30日,12:27,1,48,0.79,0,0.19,1,0.07,0,0.49,0.75
1104,2024年10月30日,12:27,0,16,0.03,1,0.85,0,0.51,0,0.15,0.28
1105,2024年10月30日,12:28,1,87,0.21,1,0.50,0,0.60,1,0.59,0.56
1106,2024年10月30日,12:29,1,16,0.93,0,0.16,1,0.37,0,0.79,0.15
1107,2024年10月30日,12:30,0,15,0.07,1,0.49,0,0.53,0,0.42,0.50
1108,2024年10月30日,12:30,1,35,0.30,1,0.23,0,0.89,0,0.92,0.01
1109,2024年10月30日,12:30,0,42,0.12,1,0.70,0,0.36,0,0.45,0.08
1110,2024年10月30日,12:30,1,38,0.25,1,0.33,0,0.32,0,0.21,0.02
1111,2024年10月30日,12:30,0,98,0.98,0,0.83,1,0.42,1,0.22,0.55
1112,2024年10月30日,12:31,1,42,0.96,0,0.56,1,0.92,1,0.69,0.49
1113,2024年10月30日,12:31,0,56,0.45,0,0.93,1,0.42,0,0.07,0.83
1114,2024年10月30日,12:33,1,24,0.31,0,0.09,1,0.26,1,0.05,0.01
1115,2024年10月30日,12:33,0,71,0.04,1,0.27,0,0.88,1,0.50,0.91
1116,2024年10月30日,12:34,1,30,0.62,0,0.63,1,0.93,0,0.07,0.28
1117,2024年10月30日,12:35,1,26,0.83,0,0.44,1,0.28,1,0.63,0.15
1118,2024年10月30日,12:35,1,88,1.00,0,0.13,1,0.98,0,0.19,0.68
1119,2024年10月30日,12:36,1,85,0.08,1,0.73,0,0.26,1,0.51,0.58
1120,2024年10月30日,12:36,0,74,0.13,1,0.77,0,0.70,0,0.69,0.63
1121,2024年10月30日,12:36,1,21,0.36,0,0.16,1,0.78,0,0.84,0.12
1122,2024年10月30日,12:36,0,56,0.20,1,0.23,0,0.87,0,0.11,0.34
1123,2024年10月30日,12:37,1,54,0.75,0,0.88,1,0.44,1,0.60,0.95
1124,2024年10月30日,12:38,0,61,0.17,1,0.03,0,0.53,0,0.23,0.39
1125,2024年10月30日,12:38,0,19,0.18,1,0.65,0,0.41,1,0.04,0.04
1126,2024年10月30日,12:39,0,25,0.80,0,0.89,1,0.18,0,0.61,0.87
1127,2024年10月30日,12:40,1,74,0.45,0,0.71,1,0.09,0,0.13,0.54
1128,2024年10月30日,12:41,0,17,0.28,1,0.57,0,0.82,1,0.63,0.00
1129,2024年10月30日,12:41,1,55,0.64,0,0.32,1,0.10,0,0.83,0.76
1130,2024年10月30日,12:42,0,57,0.13,1,0.95,0,0.17,1,0.99,0.71
1131,2024年10月30日,12:43,0,91,0.72,0,0.97,1,0.50,1,0.25,0.57
1132,2024年10月30日,12:44,1,16,0.43,0,0.34,1,0.39,0,0.81,0.80
1133,2024年10月30日,12:44,1,91,0.60,0,0.77,1,0.90,0,0.40,0.93
1134,2024年10月30日,12:45,1,50,0.55,0,0.40,1,0.02,1,0.43,0.41
1135,2024年10月30日,12:47,0,4,0.12,1,0.00,0,0.00,1,0.21,0.49
1136,2024年10月30日,12:47,1,39,0.06,1,0.31,0,0.20,0,0.51,0.94
1137,2024年10月30日,12:47,0,93,0.88,0,0.40,1,0.80,1,0.80,0.64
1138,2024年10月30日,12:48,0,55,0.95,0,0.27,1,0.66,1,0.79,0.69
1139,2024年10月30日,12:48,0,94,0.39,0,0.10,1,0.17,0,0.06,0.72
1140,2024年10月30日,12:48,1,11,0.57,0,0.02,1,0.58,0,0.13,0.52
1141,2024年10月30日,12:51,0,33,0.62,0,0.33,1,0.20,0,0.28,0.28
1142,2024年10月30日,12:52,1,39,0.22,1,0.71,0,0.95,0,0.83,0.38
1143,2024年10月30日,12:53,0,91,0.13,1,0.49,0,0.48,1,0.94,0.59
1144,2024年10月30日,12:54,0,51,0.37,0,0.64,1,0.90,0,0.03,0.79
1145,2024年10月30日,12:59,1,57,0.26,1,0.18,0,0.78,1,0.97,0.55
1146,2024年10月30日,12:59,0,37,0.19,1,0.45,0,0.18,1,0.09,0.78
1147,2024年10月30日,12:59,0,94,0.96,0,0.48,1,0.70,0,0.91,0.89
1148,2024年10月30日,13:00,0,89,0.95,0,0.38,1,0.11,1,0.08,0.66
1149,2024年10月30日,13:00,0,40,0.65,0,0.33,1,0.15,0,0.96,0.78
1150,2024年10月30日,13:00,1,26,0.26,1,0.35,0,0.26,1,0.64,0.26
1151,2024年10月30日,13:00,0,18,0.74,0,0.57,1,0.08,1,0.65,0.56
1152,2024年10月30日,13:01,1,78,0.40,0,0.12,1,0.75,0,0.70,0.35
1153,2024年10月30日,13:01,0,28,0.87,0,0.94,1,0.50,0,0.64,0.77
1154,2024年10月30日,13:02,1,5,0.19,1,0.25,0,0.89,0,0.94,0.09
1155,2024年10月30日,13:03,0,46,0.23,1,0.10,0,0.04,0,0.09,0.05
1156,2024年10月30日,13:03,1,42,0.34,0,0.00,1,0.54,0,0.81,0.11
1157,2024年10月30日,13:03,1,87,0.85,0,0.91,1,0.13,0,0.60,0.02
1158,2024年10月30日,13:03,0,1,0.66,0,0.18,1,0.49,0,0.27,0.21
1159,2024年10月30日,13:06,0,95,0.67,0,0.97,1,0.66,0,0.04,0.55
1160,2024年10月30日,13:06,0,80,0.97,0,0.02,1,0.45,0,0.21,0.73
1161,2024年10月30日,13:06,1,15,0.57,0,0.18,1,0.48,0,0.24,0.65
1162,2024年10月30日,13:07,0,80,0.45,0,0.01,1,0.54,1,0.19,0.85
1163,2024年10月30日,13:08,0,80,0.07,1,0.76,0,0.21,0,0.58,0.28
1164,2024年10月30日,13:08,0,8,0.59,0,0.56,1,0.74,0,0.34,0.40
1165,2024年10月30日,13:08,1,8,0.19,1,0.02,0,0.66,0,0.37,0.86
1166,2024年10月30日,13:09,0,20,0.17,1,0.45,0,0.27,0,0.94,0.38
1167,2024年10月30日,13:09,1,53,0.80,0,0.26,1,0.38,1,0.46,0.36
1168,2024年10月30日,13:12,1,13,0.25,1,0.46,0,0.95,0,0.10,0.91
1169,2024年10月30日,13:12,0,1,0.13,1,0.03,0,0.72,0,0.05,0.42
1170,2024年10月30日,13:13,0,85,0.99,0,0.40,1,0.51,0,0.73,0.18
1171,2024年10月30日,13:13,1,8,0.47,0,0.57,1,0.48,1,0.12,0.78
1172,2024年10月30日,13:14,1,80,0.28,1,0.01,0,0.79,1,0.82,0.04
1173,2024年10月30日,13:15,0,16,0.89,0,0.75,1,0.94,0,0.66,0.38
1174,2024年10月30日,13:15,1,34,0.71,0,0.32,1,0.48,1,0.05,0.18
1175,2024年10月30日,13:16,1,41,0.06,1,0.87,0,0.91,0,0.44,0.40
1176,2024年10月30日,13:17,1,3,0.99,0,0.12,1,0.39,0,0.02,0.63
1177,2024年10月30日,13:19,1,92,0.28,1,0.29,0,0.50,1,0.53,0.92
1178,2024年10月30日,13:19,0,71,0.68,0,0.56,1,0.26,1,0.78,0.74
1179,2024年10月30日,13:19,1,73,0.47,0,0.99,1,0.35,0,0.84,0.07
1180,2024年10月30日,13:20,0,90,0.60,0,0.10,1,0.24,0,0.18,0.23
1181,2024年10月30日,13:20,1,48,0.16,1,0.25,0,0.19,0,0.97,0.75
1182,2024年10月30日,13:21,0,24,0.72,0,0.87,1,0.19,0,0.82,0.73
1183,2024年10月30日,13:21,0,46,0.03,1,0.78,0,0.47,1,0.59,0.27
1184,2024年10月30日,13:21,0,27,0.41,0,0.50,1,0.98,0,0.27,0.59
1185,2024年10月30日,13:22,1,35,0.38,0,0.46,1,0.63,1,0.11,0.60
1186,2024年10月30日,13:23,0,36,0.07,1,0.34,0,0.75,1,0.83,0.70
1187,2024年10月30日,13:24,0,37,0.09,1,0.67,0,0.78,1,0.32,0.35
1188,2024年10月30日,13:26,0,39,0.42,0,0.62,1,0.15,1,0.83,0.11
1189,2024年10月30日,13:26,1,63,0.17,1,0.17,0,0.89,0,0.90,0.04
1190,2024年10月30日,13:27,0,61,0.90,0,0.85,1,0.73,0,0.04,0.17
1191,2024年10月30日,13:28,0,53,0.98,0,0.33,1,0.37,0,0.49,0.77
1192,2024年10月30日,13:29,1,24,0.21,1,0.52,0,0.74,0,0.67,0.31
1193,2024年10月30日,13:29,0,66,0.61,0,0.82,1,0.35,1,0.77,0.78
1194,2024年10月30日,13:29,0,65,0.84,0,0.70,1,0.23,0,0.47,0.34
1195,2024年10月30日,13:30,1,32,0.46,0,0.54,1,0.54,0,0.24,0.74
1196,2024年10月30日,13:30,1,63,0.73,0,0.45,1,0.74,1,0.87,0.95
1197,2024年10月30日,13:31,0,39,0.17,1,0.49,0,0.44,1,0.81,0.42
1198,2024年10月30日,13:34,0,51,0.21,1,0.76,0,0.15,1,0.04,0.25
1199,2024年10月30日,13:35,0,56,0.44,0,0.10,1,0.50,0,0.68,0.04
1200,2024年10月30日,13:37,0,19,0.79,0,0.30,1,0.13,0,0.22,0.60
1201,2024年10月30日,13:39,1,22,0.06,1,0.76,0,0.69,0,0.86,0.78
1202,2024年10月30日,13:40,1,77,0.97,0,0.19,1,0.32,0,0.98,0.48
1203,2024年10月30日,13:41,1,29,0.69,0,0.60,1,0.15,0,0.32,0.28
1204,2024年10月30日,13:43,0,76,0.07,1,0.86,0,0.68,0,0.20,0.53
1205,2024年10月30日,13:44,0,88,0.88,0,0.24,1,0.11,0,0.76,0.33
1206,2024年10月30日,13:44,1,68,0.06,1,0.68,0,0.68,1,0.82,0.21
1207,2024年10月30日,13:44,0,67,0.44,0,0.56,1,0.23,0,0.86,0.63
1208,2024年10月30日,13:45,1,95,0.55,0,0.35,1,0.72,0,0.08,0.39
1209,2024年10月30日,13:46,0,62,0.65,0,0.90,1,1.00,1,0.55,0.17
1210,2024年10月30日,13:46,0,92,0.08,1,0.43,0,0.98,1,0.19,0.86
1211,2024年10月30日,13:46,1,25,0.51,0,0.57,1,0.36,0,0.65,0.02
1212,2024年10月30日,13:47,1,66,0.49,0,0.04,1,0.13,1,0.78,0.13
1213,2024年10月30日,13:48,1,27,0.11,1,0.18,0,0.64,0,0.77,0.60
1214,2024年10月30日,13:48,1,62,0.37,0,0.73,1,1.00,1,0.52,0.99
1215,2024年10月30日,13:48,0,26,0.16,1,0.21,0,0.25,1,0.38,0.20
1216,2024年10月30日,13:50,1,19,0.61,0,0.86,1,0.63,0,0.52,0.36
1217,2024年10月30日,13:50,1,14,0.49,0,0.75,1,0.02,0,0.28,0.05
1218,2024年10月30日,13:50,1,35,0.80,0,0.46,1,0.71,1,0.42,0.55
1219,2024年10月30日,13:50,0,61,0.39,0,0.04,1,0.39,1,0.24,0.94
1220,2024年10月30日,13:51,0,13,0.42,0,0.49,1,0.90,0,0.45,0.75
1221,2024年10月30日,13:52,0,99,0.28,1,0.15,0,0.80,0,0.38,0.47
1222,2024年10月30日,13:52,0,24,0.99,0,0.59,1,0.01,0,0.67,0.36
1223,2024年10月30日,13:53,0,93,0.75,0,0.64,1,0.44,1,0.65,0.57
1224,2024年10月30日,13:53,1,21,0.36,0,0.50,1,0.10,1,0.91,0.95
1225,2024年10月30日,13:55,0,81,0.99,0,0.28,1,0.24,1,0.36,0.09
1226,2024年10月30日,13:56,1,62,0.40,0,0.20,1,0.36,0,0.55,0.97
1227,2024年10月30日,13:57,1,100,0.83,0,0.41,1,0.82,1,0.20,0.66
1228,2024年10月30日,13:59,0,15,0.55,0,0.87,1,0.06,1,0.93,0.72
1229,2024年10月30日,14:01,0,92,0.93,0,0.30,1,0.48,0,0.08,0.75
1230,2024年10月30日,14:01,1,49,0.12,1,0.98,0,0.07,1,0.33,0.51
1231,2024年10月30日,14:01,0,95,0.08,1,0.04,0,0.53,0,0.61,0.82
1232,2024年10月30日,14:01,0,40,0.42,0,0.98,1,0.84,1,0.05,0.42
1233,2024年10月30日,14:03,1,47,0.45,0,0.49,1,0.46,0,0.02,0.53
1234,2024年10月30日,14:04,0,74,0.61,0,0.92,1,0.08,1,0.42,0.14
1235,2024年10月30日,14:06,0,80,0.51,0,0.70,1,0.36,0,0.99,0.00
1236,2024年10月30日,14:06,0,35,0.06,1,0.66,0,0.56,0,0.52,0.63
1237,2024年10月30日,14:07,1,55,0.18,1,0.07,0,0.42,0,0.18,0.02
1238,2024年10月30日,14:07,0,74,0.43,0,0.60,1,0.51,1,0.03,0.94
1239,2024年10月30日,14:08,1,77,0.28,1,0.45,0,0.48,0,0.20,0.40
1240,2024年10月30日,14:08,1,48,0.11,1,0.30,0,0.69,0,0.30,0.89
1241,2024年10月30日,14:08,1,23,0.18,1,0.13,0,0.29,1,0.01,0.29
1242,2024年10月30日,14:08,0,72,0.14,1,0.20,0,0.71,0,0.76,0.64
1243,2024年10月30日,14:09,0,35,0.98,0,0.56,1,0.25,1,0.17,0.46
1244,2024年10月30日,14:12,1,42,0.27,1,0.02,0,0.19,1,0.77,0.30
1245,2024年10月30日,14:16,0,13,0.96,0,0.77,1,0.75,0,0.90,0.92
1246,2024年10月30日,14:16,1,1,0.05,1,0.95,0,0.61,1,0.61,0.79
1247,2024年10月30日,14:17,1,18,0.34,0,0.80,1,0.09,0,0.83,0.98
1248,2024年10月30日,14:18,0,13,0.71,0,0.26,1,0.34,0,0.02,0.61
1249,2024年10月30日,14:18,0,39,0.59,0,0.93,1,0.66,1,0.91,0.01
1250,2024年10月30日,14:18,1,5,0.30,1,0.25,0,0.47,1,0.39,0.65
1251,2024年10月30日,14:19,0,51,0.53,0,0.26,1,0.31,0,0.85,0.11
1252,2024年10月30日,14:19,0,94,0.65,0,0.75,1,0.13,0,0.40,0.56
1253,2024年10月30日,14:19,0,93,0.27,1,0.02,0,0.35,0,0.13,0.21
1254,2024年10月30日,14:19,0,85,0.85,0,0.05,1,0.55,0,0.66,0.59
1255,2024年10月30日,14:20,1,59,0.31,0,0.82,1,0.10,0,0.76,0.55
1256,2024年10月30日,14:20,0,52,0.86,0,0.99,1,0.07,0,0.13,0.77
1257,2024年10月30日,14:21,1,75,0.01,1,0.37,0,0.32,0,0.96,0.69
1258,2024年10月30日,14:21,0,43,0.60,0,0.28,1,0.57,0,0.70,0.08
1259,2024年10月30日,14:21,0,17,0.31,0,0.42,1,0.26,1,0.73,0.15
1260,2024年10月30日,14:21,1,41,0.95,0,0.46,1,0.02,1,0.18,0.19
1261,2024年10月30日,14:22,1,20,0.63,0,0.46,1,0.88,0,0.76,0.42
1262,2024年10月30日,14:22,0,30,0.73,0,0.34,1,0.75,1,0.49,0.71
1263,2024年10月30日,14:22,0,96,0.86,0,0.93,1,0.57,1,0.88,0.78
1264,2024年10月30日,14:22,1,11,0.30,1,0.60,0,0.94,1,0.07,0.09
1265,2024年10月30日,14:23,0,78,0.81,0,0.86,1,0.15,0,0.02,0.73
1266,2024年10月30日,14:24,1,38,0.42,0,0.77,1,0.56,1,0.34,0.68
1267,2024年10月30日,14:24,0,13,0.89,0,0.04,1,0.92,0,0.41,0.70
1268,2024年10月30日,14:25,1,29,0.48,0,0.27,1,0.69,0,0.18,0.61
1269,2024年10月30日,14:25,0,95,0.94,0,0.96,1,0.65,0,0.18,0.82
1270,2024年10月30日,14:26,1,27,0.69,0,0.10,1,0.84,0,0.63,0.13
1271,2024年10月30日,14:27,1,88,0.53,0,0.60,1,0.82,0,0.91,0.92
1272,2024年10月30日,14:28,0,78,0.48,0,0.37,1,0.02,0,0.56,0.12
1273,2024年10月30日,14:29,1,91,0.43,0,0.72,1,0.03,1,0.31,0.59
1274,2024年10月30日,14:29,1,99,0.86,0,0.44,1,0.28,0,0.90,0.77
1275,2024年10月30日,14:29,0,49,0.80,0,0.64,1,0.10,1,0.00,0.93
1276,2024年10月30日,14:30,0,85,0.66,0,0.54,1,0.62,1,0.12,0.54
1277,2024年10月30日,14:31,0,11,0.57,0,0.88,1,0.12,0,0.33,0.13
1278,2024年10月30日,14:32,0,73,0.92,0,0.33,1,0.11,0,0.86,0.25
1279,2024年10月30日,14:32,1,63,0.55,0,0.03,1,0.71,1,0.37,0.60
1280,2024年10月30日,14:32,1,20,0.45,0,0.03,1,0.52,0,0.54,0.43
1281,2024年10月30日,14:33,1,52,0.46,0,0.96,1,0.60,1,0.76,0.08
1282,2024年10月30日,14:33,1,71,0.30,0,0.99,1,0.54,0,0.72,0.39
1283,2024年10月30日,14:34,0,60,0.40,0,0.92,1,0.11,1,0.49,0.52
1284,2024年10月30日,14:34,1,27,0.53,0,0.50,1,0.94,1,0.04,0.04
1285,2024年10月30日,14:35,1,31,0.74,0,0.52,1,0.30,1,0.81,0.19
1286,2024年10月30日,14:36,1,70,0.00,1,0.90,0,0.25,0,0.41,0.02
1287,2024年10月30日,14:36,1,69,0.60,0,0.64,1,0.26,0,0.30,0.46
1288,2024年10月30日,14:37,0,12,0.09,1,0.95,0,0.03,0,0.89,0.33
1289,2024年10月30日,14:37,0,43,0.70,0,0.90,1,0.49,0,0.89,0.94
1290,2024年10月30日,14:37,0,72,0.36,0,0.59,1,0.07,1,0.97,0.40
1291,2024年10月30日,14:38,1,51,0.15,1,0.39,0,0.90,1,0.01,0.94
1292,2024年10月30日,14:38,0,88,0.24,1,0.51,0,0.03,1,0.18,0.55
1293,2024年10月30日,14:39,1,59,0.99,0,0.05,1,0.92,1,0.16,0.83
1294,2024年10月30日,14:40,1,14,0.59,0,0.93,1,0.57,1,0.75,0.80
1295,2024年10月30日,14:40,0,64,0.63,0,0.00,1,0.50,0,0.25,0.50
1296,2024年10月30日,14:41,0,97,0.55,0,0.64,1,0.38,0,0.49,0.40
1297,2024年10月30日,14:42,0,20,0.78,0,0.78,1,0.90,1,0.91,0.17
1298,2024年10月30日,14:42,1,81,0.85,0,0.49,1,0.39,0,0.04,0.19
1299,2024年10月30日,14:43,1,76,0.40,0,0.79,1,0.79,1,0.64,0.93
1300,2024年10月30日,14:44,0,99,0.80,0,0.02,1,0.57,1,0.47,0.69
1301,2024年10月30日,14:45,1,13,0.81,0,0.36,1,0.67,0,0.29,0.49
1302,2024年10月30日,14:46,0,77,0.95,0,0.35,1,0.66,1,0.70,1.00
1303,2024年10月30日,14:46,0,72,0.76,0,0.19,1,0.54,1,0.99,0.46
1304,2024年10月30日,14:47,0,21,0.07,1,0.79,0,0.39,1,0.57,0.09
1305,2024年10月30日,14:47,0,67,0.66,0,0.06,1,0.72,1,0.57,0.71
1306,2024年10月30日,14:47,0,42,0.84,0,0.06,1,0.68,1,0.72,0.01
1307,2024年10月30日,14:48,1,57,0.69,0,0.70,1,0.27,0,0.06,0.91
1308,2024年10月30日,14:48,1,65,0.86,0,0.76,1,0.51,0,0.39,0.72
1309,2024年10月30日,14:49,1,26,0.40,0,0.27,1,0.74,1,0.82,0.29
1310,2024年10月30日,14:50,0,95,0.18,1,0.57,0,0.15,0,0.87,0.31
1311,2024年10月30日,14:50,0,72,0.85,0,0.22,1,0.09,0,0.19,0.27
1312,2024年10月30日,14:52,1,20,0.98,0,0.18,1,0.25,0,0.93,0.29
1313,2024年10月30日,14:52,0,9,0.39,0,0.16,1,0.45,0,0.58,0.98
1314,2024年10月30日,14:53,1,50,0.18,1,0.14,0,0.42,1,0.29,0.23
1315,2024年10月30日,14:54,0,4,0.65,0,0.73,1,0.81,0,0.26,0.87
1316,2024年10月30日,14:54,1,92,0.45,0,0.48,1,0.55,0,0.44,0.73
1317,2024年10月30日,14:54,1,24,0.59,0,0.92,1,0.42,0,0.11,0.56
1318,2024年10月30日,14:55,1,93,0.12,1,0.96,0,0.80,1,0.10,0.07
1319,2024年10月30日,14:55,0,47,0.08,1,0.29,0,0.97,0,0.74,0.58
1320,2024年10月30日,14:56,1,34,0.83,0,0.94,1,0.23,0,0.94,1.00
1321,2024年10月30日,14:56,1,5,0.19,1,0.88,0,0.75,1,0.26,0.26
1322,2024年10月30日,14:57,1,2,0.24,1,0.93,0,0.11,0,0.87,0.64
1323,2024年10月30日,14:57,0,60,0.34,0,0.49,1,0.21,1,0.56,0.53
1324,2024年10月30日,14:58,0,47,0.19,1,0.42,0,0.62,0,0.70,0.73
1325,2024年10月30日,14:59,1,74,0.29,1,0.07,0,0.59,0,0.91,0.98
1326,2024年10月30日,15:00,1,61,0.37,0,0.86,1,0.29,1,0.59,0.89
1327,2024年10月30日,15:01,1,69,0.73,0,0.76,1,0.30,0,0.09,0.57
1328,2024年10月30日,15:03,1,12,0.64,0,0.36,1,0.04,1,0.99,0.37
1329,2024年10月30日,15:03,1,20,0.15,1,0.91,0,0.10,1,0.70,0.91
1330,2024年10月30日,15:06,1,9,0.25,1,0.94,0,0.42,1,0.02,0.81
1331,2024年10月30日,15:06,1,60,0.64,0,0.48,1,0.69,0,0.74,0.43
1332,2024年10月30日,15:07,0,88,0.63,0,0.96,1,0.41,0,0.53,0.93
1333,2024年10月30日,15:07,1,85,0.20,1,0.81,0,0.32,0,0.19,0.09
1334,2024年10月30日,15:08,0,40,0.11,1,0.94,0,0.50,0,0.37,0.25
1335,2024年10月30日,15:08,0,75,0.81,0,0.02,1,0.86,1,0.55,0.60
1336,2024年10月30日,15:10,0,88,0.94,0,0.41,1,0.55,0,0.11,0.01
1337,2024年10月30日,15:10,0,28,0.10,1,0.65,0,0.57,1,0.53,0.03
1338,2024年10月30日,15:11,0,24,0.01,1,0.22,0,0.55,0,0.93,0.03
1339,2024年10月30日,15:11,1,90,0.54,0,0.98,1,0.83,0,0.98,0.70
1340,2024年10月30日,15:11,0,29,0.06,1,0.12,0,0.60,1,0.08,0.84
1341,2024年10月30日,15:12,1,95,0.27,1,0.44,0,0.95,0,0.52,0.33
1342,2024年10月30日,15:12,0,88,0.25,1,0.13,0,0.27,0,0.79,0.59
1343,2024年10月30日,15:13,0,81,0.26,1,0.63,0,0.95,0,0.68,0.04
1344,2024年10月30日,15:13,1,51,0.73,0,0.56,1,0.80,0,0.55,0.96
1345,2024年10月30日,15:15,0,21,0.52,0,0.70,1,0.73,0,0.59,0.71
1346,2024年10月30日,15:15,1,65,0.47,0,0.27,1,0.88,0,0.24,0.46
1347,2024年10月30日,15:15,0,47,0.23,1,0.26,0,0.22,0,0.72,0.94
1348,2024年10月30日,15:16,1,23,0.53,0,0.99,1,0.55,0,0.17,0.42
1349,2024年10月30日,15:16,1,47,0.83,0,0.94,1,0.03,0,0.66,0.68
1350,2024年10月30日,15:16,1,15,0.97,0,0.60,1,0.83,0,0.85,0.37
1351,2024年10月30日,15:17,0,84,0.71,0,0.14,1,0.19,1,0.54,0.15
1352,2024年10月30日,15:17,1,78,0.55,0,0.40,1,0.20,1,0.38,0.77
1353,2024年10月30日,15:18,1,3,0.86,0,0.28,1,0.16,1,0.48,0.60
1354,2024年10月30日,15:19,1,64,0.30,0,0.34,1,0.08,0,0.58,0.24
1355,2024年10月30日,15:20,0,60,0.25,1,0.15,0,0.05,0,0.32,0.56
1356,2024年10月30日,15:21,0,89,0.99,0,0.68,1,0.77,1,0.54,0.75
1357,2024年10月30日,15:21,1,54,0.55,0,0.23,1,0.91,0,0.98,0.53
1358,2024年10月30日,15:21,1,25,0.35,0,0.51,1,0.91,0,0.49,0.74
1359,2024年10月30日,15:21,0,47,0.66,0,0.20,1,0.99,0,0.99,0.15
1360,2024年10月30日,15:21,0,15,0.76,0,0.22,1,0.50,0,0.91,0.02
1361,2024年10月30日,15:22,0,7,0.94,0,0.68,1,0.23,1,0.82,0.85
1362,2024年10月30日,15:22,0,28,0.50,0,0.48,1,0.75,1,0.44,0.83
1363,2024年10月30日,15:23,0,39,0.87,0,0.98,1,0.26,0,0.27,0.56
1364,2024年10月30日,15:23,0,22,0.19,1,0.99,0,0.91,0,0.95,0.24
1365,2024年10月30日,15:24,1,82,0.98,0,0.20,1,0.22,0,0.94,0.78
1366,2024年10月30日,15:25,0,54,0.58,0,0.57,1,0.55,1,0.39,0.57
1367,2024年10月30日,15:25,1,82,0.33,0,0.82,1,0.14,1,0.37,0.31
1368,2024年10月30日,15:25,0,68,0.89,0,0.24,1,0.86,1,0.85,0.64
1369,2024年10月30日,15:25,0,35,0.51,0,0.04,1,0.89,0,0.52,0.58
1370,2024年10月30日,15:26,1,90,0.39,0,0.29,1,0.08,0,0.53,0.45
1371,2024年10月30日,15:26,0,34,0.92,0,0.68,1,0.73,0,0.19,0.93
1372,2024年10月30日,15:27,0,73,0.40,0,0.48,1,0.02,1,0.55,0.27
1373,2024年10月30日,15:27,0,10,0.29,1,0.34,0,0.79,1,0.58,0.30
1374,2024年10月30日,15:28,1,78,0.83,0,0.11,1,0.07,0,0.94,0.29
1375,2024年10月30日,15:29,0,65,0.30,0,0.70,1,0.09,0,0.36,0.18
1376,2024年10月30日,15:31,0,68,0.09,1,0.03,0,0.89,0,0.46,0.39
1377,2024年10月30日,15:34,1,83,0.26,1,0.16,0,0.94,0,0.66,0.91
1378,2024年10月30日,15:34,1,18,0.15,1,0.79,0,0.75,0,0.77,0.10
1379,2024年10月30日,15:35,1,63,0.59,0,0.87,1,0.52,0,0.89,0.66
1380,2024年10月30日,15:36,0,88,0.19,1,0.32,0,0.18,0,0.64,0.52
1381,2024年10月30日,15:36,0,28,0.81,0,0.47,1,0.98,1,0.22,0.47
1382,2024年10月30日,15:36,0,37,0.94,0,0.97,1,0.99,0,0.88,0.11
1383,2024年10月30日,15:36,0,68,0.64,0,0.75,1,0.93,0,0.89,0.70
1384,2024年10月30日,15:37,0,65,0.18,1,0.21,0,0.83,0,0.18,0.36
1385,2024年10月30日,15:39,1,5,0.24,1,0.94,0,0.56,1,0.27,0.92
1386,2024年10月30日,15:39,0,64,0.80,0,0.36,1,0.36,1,0.09,0.52
1387,2024年10月30日,15:40,0,50,0.71,0,0.29,1,0.91,1,0.80,0.56
1388,2024年10月30日,15:41,1,25,0.27,1,0.80,0,0.62,0,0.39,0.45
1389,2024年10月30日,15:42,0,78,0.77,0,0.69,1,0.59,1,0.94,0.80
1390,2024年10月30日,15:43,0,43,0.74,0,0.64,1,0.48,0,0.92,0.39
1391,2024年10月30日,15:43,0,71,0.35,0,0.12,1,0.55,0,0.96,0.15
1392,2024年10月30日,15:43,0,6,0.08,1,0.27,0,0.07,1,0.13,0.78
1393,2024年10月30日,15:44,1,22,0.27,1,0.07,0,0.74,0,0.34,0.81
1394,2024年10月30日,15:45,0,29,0.22,1,0.92,0,0.15,0,0.75,0.62
1395,2024年10月30日,15:45,0,14,0.22,1,0.97,0,0.95,0,0.79,0.60
1396,2024年10月30日,15:45,0,55,0.38,0,0.09,1,0.99,1,0.93,0.16
1397,2024年10月30日,15:47,1,38,0.66,0,0.35,1,0.52,1,0.07,0.11
1398,2024年10月30日,15:47,0,36,0.80,0,0.41,1,0.71,1,0.19,0.65
1399,2024年10月30日,15:47,0,12,0.17,1,0.91,0,0.80,0,0.19,0.25
1400,2024年10月30日,15:48,0,25,1.00,0,0.81,1,0.32,0,0.31,0.26
1401,2024年10月30日,15:48,1,21,0.62,0,0.35,1,0.04,0,0.50,0.35
1402,2024年10月30日,15:49,0,17,0.46,0,0.78,1,0.40,0,0.96,0.75
1403,2024年10月30日,15:50,0,49,0.20,1,0.79,0,0.33,0,0.53,0.80
1404,2024年10月30日,15:50,0,4,0.63,0,0.16,1,0.71,1,0.64,0.09
1405,2024年10月30日,15:51,1,72,0.13,1,0.64,0,0.21,0,0.97,0.39
1406,2024年10月30日,15:52,1,30,0.02,1,0.24,0,0.26,1,0.96,0.78
1407,2024年10月30日,15:54,1,22,0.68,0,0.56,1,0.30,1,0.93,0.73
1408,2024年10月30日,15:55,1,5,0.13,1,0.56,0,0.10,0,0.87,0.08
